,county,<10,10-50,50-180,180-500,500-1000,>1000,total_acres
0,ALABAMA001,131.0,2370.0,12762.0,24392.0,20316.0,53265.0,113236
1,ALABAMA003,726.0,7471.0,20303.0,25905.0,46011.0,74387.0,174803
2,ALABAMA005,54.0,2645.0,15790.0,43953.0,36997.0,53309.0,152748
3,ALABAMA007,136.0,1103.0,5577.0,15025.0,4270.0,29854.0,55965
4,ALABAMA009,371.0,10670.0,40863.0,57652.0,15755.0,22866.0,148177
5,ALABAMA011,0.0,1081.0,9427.0,21614.0,23554.0,59524.0,115200
6,ALABAMA013,43.0,3108.0,18693.0,22520.0,5192.0,34826.0,84382
7,ALABAMA015,0.0,5790.0,25234.0,20681.0,15381.0,8530.0,75616
8,ALABAMA017,79.0,1979.0,13667.0,17278.0,23225.0,72427.0,128655
9,ALABAMA019,114.0,4767.0,16827.0,24665.0,26342.0,48656.0,121371
10,ALABAMA021,153.0,4471.0,16652.0,17159.0,24401.0,0.0,62836
11,ALABAMA023,0.0,1103.0,5132.0,10249.0,13815.0,51311.0,81610
12,ALABAMA025,161.0,2308.0,9523.0,18758.0,11410.0,22429.0,64589
13,ALABAMA027,0.0,2186.0,17305.0,21271.0,15921.0,8944.0,65627
14,ALABAMA029,107.0,2079.0,13311.0,20917.0,7658.0,4325.0,48397
15,ALABAMA031,292.0,5309.0,31122.0,45965.0,26257.0,68276.0,177221
16,ALABAMA033,220.0,4878.0,19403.0,22987.0,16476.0,86352.0,150316
17,ALABAMA035,64.0,2531.0,13520.0,19941.0,11910.0,56081.0,104047
18,ALABAMA037,0.0,686.0,11481.0,12624.0,9759.0,10824.0,45374
19,ALABAMA039,172.0,7704.0,40284.0,43373.0,18017.0,51864.0,161414
20,ALABAMA041,156.0,3665.0,20972.0,35162.0,18592.0,35790.0,114337
21,ALABAMA043,758.0,18684.0,66527.0,53075.0,34568.0,0.0,173612
22,ALABAMA045,111.0,3027.0,17378.0,29051.0,22732.0,64708.0,137007
23,ALABAMA047,161.0,2992.0,16684.0,29247.0,24821.0,189209.0,263114
24,ALABAMA049,654.0,19939.0,64889.0,81601.0,31174.0,49132.0,247389
25,ALABAMA051,421.0,4732.0,16283.0,20280.0,11818.0,40169.0,93703
26,ALABAMA053,312.0,3312.0,12873.0,10911.0,17021.0,61329.0,105758
27,ALABAMA055,0.0,9076.0,23160.0,22933.0,24122.0,8181.0,87472
28,ALABAMA057,86.0,2151.0,10231.0,26519.0,12020.0,12944.0,63951
29,ALABAMA059,244.0,4218.0,32792.0,42638.0,20633.0,29028.0,129553
30,ALABAMA061,210.0,6340.0,33951.0,39985.0,21052.0,81818.0,183356
31,ALABAMA063,77.0,1850.0,12648.0,10853.0,28537.0,99356.0,153321
32,ALABAMA065,105.0,2854.0,12900.0,23357.0,37517.0,81076.0,157809
33,ALABAMA067,188.0,2666.0,13996.0,36445.0,35819.0,84872.0,173986
34,ALABAMA069,432.0,5855.0,17732.0,34195.0,24336.0,65976.0,148526
35,ALABAMA071,551.0,13964.0,43623.0,57164.0,34509.0,68708.0,218519
36,ALABAMA073,0.0,3684.0,9001.0,6933.0,1780.0,14656.0,36054
37,ALABAMA075,25.0,2151.0,13779.0,12783.0,9506.0,35381.0,73625
38,ALABAMA077,889.0,12120.0,43339.0,39795.0,22961.0,91435.0,210539
39,ALABAMA079,487.0,12981.0,44529.0,37070.0,24153.0,94527.0,213747
40,ALABAMA081,212.0,1887.0,9889.0,13853.0,10032.0,31892.0,67765
41,ALABAMA083,923.0,11345.0,32500.0,35227.0,22721.0,122106.0,224822
42,ALABAMA085,184.0,4072.0,10661.0,36078.0,35682.0,116230.0,202907
43,ALABAMA087,106.0,2196.0,14900.0,17722.0,22670.0,62614.0,120208
44,ALABAMA089,998.0,10281.0,23345.0,27845.0,24079.0,98378.0,184926
45,ALABAMA091,242.0,3460.0,14048.0,34791.0,29792.0,65042.0,147375
46,ALABAMA093,0.0,4305.0,28653.0,33364.0,8379.0,4694.0,79395
47,ALABAMA095,575.0,16933.0,47060.0,39902.0,20936.0,19719.0,145125
48,ALABAMA097,745.0,5816.0,15826.0,14300.0,10714.0,47543.0,94944
49,ALABAMA099,126.0,4335.0,14082.0,17499.0,30635.0,74779.0,141456
50,ALABAMA101,180.0,3032.0,17265.0,45220.0,46789.0,120560.0,233046
51,ALABAMA103,818.0,11507.0,37358.0,36871.0,22824.0,25486.0,134864
52,ALABAMA105,176.0,1982.0,10644.0,20702.0,13452.0,116268.0,163224
53,ALABAMA107,168.0,2669.0,13559.0,21431.0,15255.0,51754.0,104836
54,ALABAMA109,148.0,3572.0,22013.0,45482.0,35085.0,59382.0,165682
55,ALABAMA111,65.0,4822.0,22861.0,30085.0,27787.0,34723.0,120343
56,ALABAMA113,80.0,2051.0,8672.0,12317.0,22178.0,53368.0,98666
57,ALABAMA115,300.0,3843.0,17580.0,23827.0,6225.0,7200.0,58975
58,ALABAMA117,0.0,4526.0,11359.0,22597.0,16208.0,9483.0,64173
59,ALABAMA119,14.0,2180.0,9037.0,27884.0,39669.0,101444.0,180228
60,ALABAMA121,220.0,5253.0,20374.0,24069.0,13421.0,16163.0,79500
61,ALABAMA123,118.0,1869.0,15428.0,25149.0,3970.0,0.0,46534
62,ALABAMA125,0.0,4479.0,18669.0,30211.0,15492.0,20883.0,89734
63,ALABAMA127,0.0,4990.0,16610.0,13973.0,11738.0,13180.0,60491
64,ALABAMA129,0.0,3698.0,14660.0,21615.0,14031.0,64743.0,118747
65,ALABAMA131,171.0,1586.0,8722.0,14376.0,24491.0,115932.0,165278
66,ALABAMA133,94.0,4713.0,20797.0,16293.0,5027.0,0.0,46924
67,ALASKA000,436.0,5325.0,13907.0,24385.0,7416.0,772635.0,824104
68,ARIZONA001,7520.0,23061.0,43157.0,83071.0,144103.0,5254051.0,5554963
69,ARIZONA003,737.0,7329.0,29903.0,42429.0,47720.0,845289.0,973407
70,ARIZONA005,3017.0,6590.0,12964.0,14502.0,14936.0,6086998.0,6139007
71,ARIZONA007,300.0,1223.0,4934.0,5949.0,5657.0,1196071.0,1214134
72,ARIZONA009,0.0,1873.0,7939.0,5005.0,19270.0,1255305.0,1289392
73,ARIZONA011,0.0,1073.0,2047.0,4371.0,6539.0,51002.0,65032
74,ARIZONA012,0.0,531.0,1766.0,5549.0,5954.0,235336.0,249136
75,ARIZONA013,3655.0,8299.0,11559.0,20147.0,38299.0,392479.0,474438
76,ARIZONA015,417.0,1932.0,1831.0,8703.0,15363.0,716727.0,744973
77,ARIZONA017,5355.0,10848.0,26091.0,94943.0,249959.0,4025925.0,4413121
78,ARIZONA019,911.0,3454.0,4526.0,5471.0,10223.0,2592199.0,2616784
79,ARIZONA021,942.0,3543.0,7754.0,21006.0,45192.0,1042200.0,1120637
80,ARIZONA023,0.0,1630.0,4663.0,7101.0,6292.0,177424.0,197110
81,ARIZONA025,1593.0,5326.0,6398.0,12394.0,21480.0,773475.0,820666
82,ARIZONA027,0.0,2579.0,5066.0,12325.0,18912.0,207345.0,246227
83,ARKANSAS001,19.0,2276.0,12113.0,21190.0,39351.0,339405.0,414354
84,ARKANSAS003,286.0,2746.0,9477.0,10325.0,15227.0,93887.0,131948
85,ARKANSAS005,145.0,3727.0,15786.0,31024.0,17160.0,33602.0,101444
86,ARKANSAS007,1270.0,18475.0,59613.0,75344.0,44316.0,44735.0,243753
87,ARKANSAS009,432.0,9256.0,48271.0,84594.0,66687.0,96682.0,305922
88,ARKANSAS011,0,1970.0,6746.0,9893.0,1922.0,0.0,20531
