,state_name,county_name,state_fips_code,county_code,>1000,<10,10-50,180-500,50-180,500-1000,countycode
0,ALABAMA,AUTAUGA,1,1,25,25,92,80,118,31,ALABAMA001
1,ALABAMA,BALDWIN,1,3,38,143,310,89,201,61,ALABAMA003
2,ALABAMA,BARBOUR,1,5,26,13,88,155,161,55,ALABAMA005
3,ALABAMA,BIBB,1,7,12,31,42,52,61,7,ALABAMA007
4,ALABAMA,BLOUNT,1,9,16,85,383,195,443,24,ALABAMA009
5,ALABAMA,BULLOCK,1,11,24,8,39,71,81,32,ALABAMA011
6,ALABAMA,BUTLER,1,13,10,13,113,86,190,8,ALABAMA013
7,ALABAMA,CALHOUN,1,15,9,56,223,78,253,24,ALABAMA015
8,ALABAMA,CHAMBERS,1,17,38,17,67,57,117,35,ALABAMA017
9,ALABAMA,CHEROKEE,1,19,25,32,182,86,166,39,ALABAMA019
10,ALABAMA,CHILTON,1,21,6,32,162,61,168,34,ALABAMA021
11,ALABAMA,CHOCTAW,1,23,14,17,41,36,62,18,ALABAMA023
12,ALABAMA,CLARKE,1,25,16,34,98,61,96,15,ALABAMA025
13,ALABAMA,CLAY,1,27,9,26,68,77,175,26,ALABAMA027
14,ALABAMA,CLEBURNE,1,29,3,24,75,74,132,11,ALABAMA029
15,ALABAMA,COFFEE,1,31,34,51,197,159,308,39,ALABAMA031
16,ALABAMA,COLBERT,1,33,50,45,191,79,202,24,ALABAMA033
17,ALABAMA,CONECUH,1,35,23,21,75,67,142,16,ALABAMA035
18,ALABAMA,COOSA,1,37,6,11,26,44,112,16,ALABAMA037
19,ALABAMA,COVINGTON,1,39,27,45,268,148,392,27,ALABAMA039
20,ALABAMA,CRENSHAW,1,41,22,33,120,132,210,26,ALABAMA041
21,ALABAMA,CULLMAN,1,43,4,142,689,196,698,52,ALABAMA043
22,ALABAMA,DALE,1,45,31,19,111,97,174,37,ALABAMA045
23,ALABAMA,DALLAS,1,47,88,37,111,94,163,35,ALABAMA047
24,ALABAMA,DE KALB,1,49,30,148,721,295,701,44,ALABAMA049
25,ALABAMA,ELMORE,1,51,24,76,178,76,165,19,ALABAMA051
26,ALABAMA,ESCAMBIA,1,53,35,70,134,39,134,25,ALABAMA053
27,ALABAMA,ETOWAH,1,55,4,115,336,81,243,38,ALABAMA055
28,ALABAMA,FAYETTE,1,57,11,18,74,86,117,18,ALABAMA057
29,ALABAMA,FRANKLIN,1,59,19,49,143,155,332,31,ALABAMA059
30,ALABAMA,GENEVA,1,61,40,40,236,142,330,32,ALABAMA061
31,ALABAMA,GREENE,1,63,55,16,65,32,116,41,ALABAMA063
32,ALABAMA,HALE,1,65,37,21,88,74,121,52,ALABAMA065
33,ALABAMA,HENRY,1,67,44,32,84,117,123,55,ALABAMA067
34,ALABAMA,HOUSTON,1,69,35,75,224,132,193,39,ALABAMA069
35,ALABAMA,JACKSON,1,71,32,107,500,203,465,48,ALABAMA071
36,ALABAMA,JEFFERSON,1,73,4,95,150,27,108,3,ALABAMA073
37,ALABAMA,LAMAR,1,75,7,11,67,48,123,13,ALABAMA075
38,ALABAMA,LAUDERDALE,1,77,44,148,482,135,467,33,ALABAMA077
39,ALABAMA,LAWRENCE,1,79,30,103,479,136,468,36,ALABAMA079
40,ALABAMA,LEE,1,81,18,47,91,51,90,17,ALABAMA081
41,ALABAMA,LIMESTONE,1,83,41,165,438,126,351,35,ALABAMA083
42,ALABAMA,LOWNDES,1,85,47,38,141,123,110,53,ALABAMA085
43,ALABAMA,MACON,1,87,28,24,75,73,137,36,ALABAMA087
44,ALABAMA,MADISON,1,89,45,185,391,95,269,36,ALABAMA089
45,ALABAMA,MARENGO,1,91,26,34,107,118,140,46,ALABAMA091
46,ALABAMA,MARION,1,93,5,38,140,111,276,12,ALABAMA093
47,ALABAMA,MARSHALL,1,95,8,123,623,147,513,30,ALABAMA095
48,ALABAMA,MOBILE,1,97,20,145,253,54,165,16,ALABAMA097
49,ALABAMA,MONROE,1,99,34,32,166,63,139,43,ALABAMA099
50,ALABAMA,MONTGOMERY,1,101,56,32,123,146,153,65,ALABAMA101
51,ALABAMA,MORGAN,1,103,13,154,447,134,381,35,ALABAMA103
